"Horodateur","Tu es en...","Les raisons pour lesquelles tu prends part à un évènement entreprise...","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [1]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [2]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [3]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [4]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [5]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [6]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [7]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [8]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [9]","Un domaine n'apparaissant pas dans la question précédente ?","Y a-t-il un type de fonction qui t'intéresse particulièrement dans une entreprise ?
( par ex : R&D, recherche fondamentale, conseil, services et apps, etc... )","Les types d'évènements que tu préfères...","Qu'espères-tu obtenir d'un évènement entreprise","Qu'elles sont les principales choses que tu veux savoir sur une entreprise ?","Une entreprise particulière que tu aimerais rencontrer ?","Es-tu intéressé.e par la création d'un forum ""entreprises publiques"" ? ","Es-tu intéressé.e par la mise en place d'un forum sur le secteur ""énergie et environnement"" ? ","Es-tu intéressé.e par la mise en place d'un forum Start-up","Une dernière chose ? :)"
"2026/03/26 5:30:29 PM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage","Énergie","Environnement","Transports","Santé et Biotechnologies","Aéronautique","Numérique, Informatique et IA","Robotique et Automatisation","Économie et Finance","Mode et Luxe","","R&D, gestion de projet ","les tables rondes;les visites de site;les études de cas","proposition de stage, journée type d’un employé ","organisation sociale","","oui","oui","oui",""
"2026/03/29 11:28:53 AM UTC+2","2A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Environnement","Énergie","Transports","Économie et Finance","Numérique, Informatique et IA","Santé et Biotechnologies","Robotique et Automatisation","Aéronautique","Mode et Luxe","","Fonction publique, mais ça n'arrive jamais","j'ai fait que des amphis","des infos concretes sur les opportunités de carrière, l'engagement éthique d'une entreprise, un contact pour un stage","Si ils livrent des armes à israel et si il nous font travailler le weekend","ADEME ?","OUI OUI OUI OUI OUI OUI","OUAAAAAAAAAAAAAAAAAAAAAAIS","non",""
"2026/05/19 8:39:32 PM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la présence d'un repas lors de l'évènement","Numérique, Informatique et IA","Énergie","Transports","Aéronautique","Santé et Biotechnologies","Robotique et Automatisation","Environnement","Économie et Finance","Mode et Luxe","","","les tables rondes;les visites de site","","","","non","Non","non",""
"2026/05/19 8:43:08 PM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage","Numérique, Informatique et IA","Économie et Finance","Énergie","Santé et Biotechnologies","Robotique et Automatisation","Transports","Aéronautique","Environnement","Mode et Luxe","","R&D","les tables rondes;les visites de site;les études de cas","Des contacts","Comment ils recrutent pour quels postes","Nvidia","oui","oui","oui",""
"2026/05/19 8:53:25 PM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement","Robotique et Automatisation","Santé et Biotechnologies","Numérique, Informatique et IA","Aéronautique","Transports","Énergie","Environnement","Économie et Finance","Mode et Luxe","","","les amphis entreprises;les visites de site;les forums","","","","non","Non","oui",""
"2026/05/19 9:45:27 PM UTC+3","3A IC","le domaine d'activité de l'entreprise;la recherche d'un stage","Santé et Biotechnologies","Numérique, Informatique et IA","Économie et Finance","Robotique et Automatisation","Énergie","Environnement","Transports","Aéronautique","Mode et Luxe","","Stratégie d'entreprise ","les amphis entreprises;les tables rondes;les visites de site","","","Dassault Systèmes ","oui","Non","non",""
"2026/05/19 11:00:30 PM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement;par curiosité, pour voir ce qu'ils vont présenter (pas nécessairement parce que je ne connais pas l'entreprise)","Numérique, Informatique et IA","Énergie","Santé et Biotechnologies","Mode et Luxe","Économie et Finance","Environnement","Aéronautique","Robotique et Automatisation","Transports","Art/Culture/Philosophie/Éthique","","les tables rondes;les visites de site;les forums","des informations sur les processus de recrutement, des témoignages concrets des activités en tant de salarié, des contacts d'alumni ","comment sont les processus de recrutement, et comment se passe le travail (les conditions, opportunités, etc.)","","ça dépend quel est la fin de cet évènement, j'en questionne sa pertinence par l'idée qu'il y a derrière, est ce que le but est de rassembler des entreprises qui travaillent pour le 'bien commun' car détenues en gros par l'Etat, ou est ce que c'est juste pour dire 'grosse boite', là ou pourquoi une ONG par exemple qui travaille pour le bien commun ne pourrait pas être invitée? il faut détailler un peu plus vos idées/démarches parce que sinon ça ne sert à rien, et pourquoi l'utilisation des guillemets","pareil il faut définir ce que que serait","il existe déjà/a déjà existé: c'est dur de convaincre suffisamment de startups de venir parce que ça leur coûte cher","bon courage les jeunots"
"2026/05/19 11:12:46 PM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage","Mode et Luxe","Santé et Biotechnologies","Aéronautique","Transports","Environnement","Énergie","Économie et Finance","Robotique et Automatisation","Numérique, Informatique et IA","","","les tables rondes;les visites de site;les études de cas","","","","non","oui","non",""
"2026/05/19 11:50:24 PM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;la présence d'un cocktail lors de l'évènement","Numérique, Informatique et IA","Environnement","Énergie","Transports","Santé et Biotechnologies","Robotique et Automatisation","Mode et Luxe","Économie et Finance","Aéronautique","Organisme publique (orienté politique publique et économie)","Affaires publiques, stratagie industrielle, économie","les amphis entreprises","Contact et meilleur compréhension de l'entreprise/organisme publique + pouvoir poser des questions qui intéressent les élèves (parfois qui fâchent un peu)","modalités de recrutement","Organismes publiques","oui","oui","non","Merci le pôle N !"
"2026/05/20 12:12:35 AM UTC+3","césure","le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un cocktail lors de l'évènement","Aéronautique","Robotique et Automatisation","Numérique, Informatique et IA","Santé et Biotechnologies","Énergie","Transports","Économie et Finance","Mode et Luxe","Environnement","","R&D / R&T ","les tables rondes;les visites de site","Des infos, des contacts ","Atmosphère, valeurs de l’entreprise ","Dassault aviation ","non","Non","non","J’ai eu des mauvaises expériences de tables rondes où seulement une des entreprises présentes m’intéresse, et il faut quand même parler avec les autres, pas toujours satisfaisant mais rien de particulier à dire sinon à part bon courage :) 
"
"2026/05/20 12:43:17 AM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement","Économie et Finance","Énergie","Numérique, Informatique et IA","Robotique et Automatisation","Aéronautique","Transports","Environnement","Santé et Biotechnologies","Mode et Luxe","","","les tables rondes;les études de cas","Stage, découvrir une entreprise, être entraîné pour le recrutement/pour le CV","","","non","Non","non",""
"2026/05/20 4:40:20 AM UTC+3","césure","le domaine d'activité de l'entreprise;la recherche d'un stage","Numérique, Informatique et IA","Énergie","Robotique et Automatisation","Transports","Santé et Biotechnologies","Économie et Finance","Environnement","Aéronautique","Mode et Luxe","","","les tables rondes;les forums;les études de cas","","","","oui","oui","oui",""
"2026/05/20 4:45:11 AM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Numérique, Informatique et IA","Santé et Biotechnologies","Robotique et Automatisation","Économie et Finance","Énergie","Transports","Environnement","Aéronautique","Mode et Luxe","","","les amphis entreprises;les tables rondes;les visites de site","","","","oui","oui","oui",""
"2026/05/20 8:09:31 AM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée","Transports","Énergie","Environnement","Numérique, Informatique et IA","Robotique et Automatisation","Santé et Biotechnologies","Mode et Luxe","Économie et Finance","Aéronautique","","","les amphis entreprises;les tables rondes;les visites de site","","","Alstom","oui","oui","non",""
"2026/05/20 9:22:19 AM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la présence d'un cocktail lors de l'évènement","Énergie","Environnement","Robotique et Automatisation","Santé et Biotechnologies","Aéronautique","Numérique, Informatique et IA","Économie et Finance","Transports","Mode et Luxe","","","les visites de site","","","","oui","oui","oui",""
"2026/05/20 10:06:14 AM UTC+3","césure","le domaine d'activité de l'entreprise;la recherche d'un stage;J'en n'ai pas fait beaucoup car souvent c'est du conseil et ça ne m'intéresse pas","Robotique et Automatisation","Aéronautique","Numérique, Informatique et IA","Énergie","Transports","Environnement","Santé et Biotechnologies","Économie et Finance","Mode et Luxe","Défense","R&D, recherche fonda, les gens qui font des trucs techniques et scientifiques en gros ","les amphis entreprises;les visites de site;les forums","Une idée de stage, des contacts, une idée de travail pour plus tard","","Des entreprises qui font des robots/véhicules autonomes/drones (genre Parrot), info quantique (Quandela)","non","oui","oui","piche"
"2026/05/20 11:18:59 AM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage","Économie et Finance","Mode et Luxe","Numérique, Informatique et IA","Aéronautique","Transports","Énergie","Robotique et Automatisation","Santé et Biotechnologies","Environnement","","","les amphis entreprises;les études de cas","","","","non","oui","non",""
"2026/05/20 11:25:53 AM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un cocktail lors de l'évènement","Énergie","Aéronautique","Santé et Biotechnologies","Environnement","Transports","Mode et Luxe","Robotique et Automatisation","Économie et Finance","Numérique, Informatique et IA","","","les amphis entreprises;les visites de site","Apprendre sur l'entreprise et son fonctionnement ","","","oui","oui","oui",""
"2026/05/20 11:34:17 AM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée","Énergie","Aéronautique","Numérique, Informatique et IA","Robotique et Automatisation","Économie et Finance","Santé et Biotechnologies","Mode et Luxe","Transports","Environnement","","","les tables rondes;les visites de site;les études de cas","","","Thalès, Airbus, Total Energies ","non","oui","oui",""
"2026/05/20 12:54:55 PM UTC+3","césure","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise","Environnement","Transports","Énergie","Santé et Biotechnologies","Robotique et Automatisation","Économie et Finance","Numérique, Informatique et IA","Mode et Luxe","Aéronautique","Le problème dans le fait de mettre ""économie et finance"" c'est typiquement que l'OCDE m'intéresse tout comme la banque de france. Par contre la sogé et bnp je pourrais payer pour ne pas y assister","Recherche fondamentale / R&D","les tables rondes;les visites de site","","","","oui","oui","non",""
"2026/05/20 1:54:19 PM UTC+3","césure","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Environnement","Énergie","Numérique, Informatique et IA","Robotique et Automatisation","Santé et Biotechnologies","Transports","Mode et Luxe","Aéronautique","Économie et Finance","cybersecurité en n1, aucun événement entreprise dans ce domaine","R&D, opérationnel, direction technique ","les tables rondes","Découvrir l'entreprise concernée","Est ce que l'entreprise a un impact positif ou négatif (jusqu'à présent la plupart des entreprises présent sont plutôt dans le second cas, même si elles adorent prétendre le contraire)","Wavestone, data4, chapsvision","Absolument, ça manque cruellement à l'offre actuelle, on est une école publique, c'est scandaleux de ne mettre en avant que des entreprises privées","Dans l'absolu oui, mais dans la pratique je sens bien l'événement full greenwashing avec total en tête d'affiche. mais si on a un vrai événement axé sur l'impact environnemental avec un bannissement total des entreprises qui font du greenwashing je suis très intéressé ","oui","Je ne doute pas de la pureté de vos intentions, mais vous n'êtes pas le premier BDE à faire un sondage sur la promotion, avec à chaque fois, aucun changement derrière dans le choix des entreprises. J'ai été de l'autre côté, et je sais bien comment ça se passe : on choisit les entreprises qui payent, et ensuite on essaye de remplir l'amphi, quitte à faire venir l'ensemble du BDE et des listeux. Le fond du problème, c'est les dépenses qui sont trop élevées, et qui sont impossibles à assumer sans l'argent sale du catalogue actuel d'entreprises. C'est un autre débat, mais sans prendre le problème de ce point de vue là, rien ne changera."
"2026/05/21 12:39:52 PM UTC+3","césure","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Environnement","Énergie","Numérique, Informatique et IA","Économie et Finance","Santé et Biotechnologies","Robotique et Automatisation","Transports","Aéronautique","Mode et Luxe","","R&D ou recherche fondamentale,","les amphis entreprises;les tables rondes","","","","oui","oui","non",""
"2026/05/22 12:31:09 AM UTC+3","césure","le domaine d'activité de l'entreprise;la recherche d'un stage;le fait de ne pas connaître l'entreprise présentée;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Énergie","Numérique, Informatique et IA","Économie et Finance","Aéronautique","Santé et Biotechnologies","Robotique et Automatisation","Environnement","Transports","Mode et Luxe","","Recherche appliquée ","les amphis entreprises;les visites de site","","","","oui","oui","oui",""
"2026/05/23 1:15:53 PM UTC+3","césure","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise","Environnement","Énergie","Numérique, Informatique et IA","Santé et Biotechnologies","Transports","Robotique et Automatisation","Économie et Finance","Mode et Luxe","Aéronautique","","R&D, recherche fondamentale","les forums","","","","oui","Non","non",""
"2026/05/27 10:33:17 AM UTC+3","césure","le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;la recherche d'un stage","Environnement","Santé et Biotechnologies","Énergie","Économie et Finance","Transports","Mode et Luxe","Robotique et Automatisation","Numérique, Informatique et IA","Aéronautique","","","les amphis entreprises;les tables rondes","Des connaissances, des idées de parcours, des idées de stage","","","oui","oui","non",""
